submission_name,employee_email,triedon
Classic Smoked Meat Poutine,maya@rpothinmvp.onmicrosoft.com,2026-07-01T12:15:00Z
Classic Smoked Meat Poutine,maverick@rpothinmvp.onmicrosoft.com,2026-07-03T13:05:00Z
Truffle Duck Confit Poutine,raphael@rpothinmvp.onmicrosoft.com,2026-07-05T18:30:00Z
Truffle Duck Confit Poutine,maya@rpothinmvp.onmicrosoft.com,2026-07-06T12:45:00Z
Spicy BBQ Pulled Pork Poutine,maverick@rpothinmvp.onmicrosoft.com,2026-07-08T19:10:00Z
Spicy BBQ Pulled Pork Poutine,maya@rpothinmvp.onmicrosoft.com,2026-07-10T13:00:00Z
Montreal Smoked Meat Deluxe Poutine,maverick@rpothinmvp.onmicrosoft.com,2026-07-11T12:20:00Z
Montreal Smoked Meat Deluxe Poutine,maya@rpothinmvp.onmicrosoft.com,2026-07-12T18:50:00Z
Smoked Meat Diner Poutine,maverick@rpothinmvp.onmicrosoft.com,2026-07-14T12:05:00Z
Smoked Meat Diner Poutine,maya@rpothinmvp.onmicrosoft.com,2026-07-18T13:30:00Z
Heritage Poutine Originale,raphael@rpothinmvp.onmicrosoft.com,2026-07-15T19:00:00Z
Heritage Poutine Originale,maverick@rpothinmvp.onmicrosoft.com,2026-07-16T12:40:00Z
