season_name,category_name,rank,score,employee_email,poutine_submission_name
Winter 2025-2026,Best Seller,1,8,raphael@rpothinmvp.onmicrosoft.com,
Winter 2025-2026,Best Seller,2,2,maya@rpothinmvp.onmicrosoft.com,
Winter 2025-2026,Best Seller,3,2,maverick@rpothinmvp.onmicrosoft.com,
Winter 2025-2026,Best Supporter,1,5,maverick@rpothinmvp.onmicrosoft.com,
Winter 2025-2026,Best Supporter,2,5,maya@rpothinmvp.onmicrosoft.com,
Winter 2025-2026,Best Supporter,3,2,raphael@rpothinmvp.onmicrosoft.com,
Winter 2025-2026,Best Critic,1,0.91,maya@rpothinmvp.onmicrosoft.com,
Winter 2025-2026,Best Critic,2,0.84,raphael@rpothinmvp.onmicrosoft.com,
Winter 2025-2026,Best Critic,3,0.72,maverick@rpothinmvp.onmicrosoft.com,
Winter 2025-2026,Top Poutine,1,4.33,,Montreal Smoked Meat Deluxe Poutine
Winter 2025-2026,Top Poutine,2,4.30,,Heritage Poutine Originale
Winter 2025-2026,Top Poutine,3,4.25,,Classic Smoked Meat Poutine
Winter 2025-2026,Top Poutine,4,4.00,,Truffle Duck Confit Poutine
Winter 2025-2026,Top Poutine,5,3.50,,Spicy BBQ Pulled Pork Poutine
